long,lat,demolition
-82.966507496,42.3889078944,0
-82.9245270615,42.4187057354,0
-83.1119714757,42.3202333495,1
-83.1389578894,42.3636703482,0
-83.1298688349,42.296394856,1
-83.1502758545,42.2873951429,1
-83.0736408057,42.3845294201,0
-82.9864857509,42.3645817137,0
-83.1440185322,42.3587754632,0
-83.2238001443,42.4130475529,0
-82.9948367187,42.4264733121,1
-82.9405677925,42.3972515855,0
-83.1189241098,42.3726485127,0
-83.2367258742,42.3742083106,1
-82.9652780346,42.4419674216,1
-83.2586263428,42.4048262762,0
-83.1901811651,42.3712724054,0
-83.2085621404,42.3481318821,1
-83.1219005068,42.3087872281,0
-82.9759018814,42.4232549491,0
-83.0081464185,42.4348332321,1
-83.0431334507,42.4054100801,0
-83.1366841696,42.3353032185,1
-83.2478649847,42.4335784266,0
-83.0635270396,42.4180471271,0
-82.9530939913,42.4489704562,1
-83.2542021485,42.4162325488,0
-83.0837938676,42.3654237909,1
-83.2053734608,42.372187493,0
-83.1021001219,42.322998746,0
-82.9491432651,42.3749257439,0
-82.9472232798,42.4236500945,0
-83.0072947976,42.4407846239,0
-82.9710509249,42.4217570305,1
-83.1489818865,42.2874676371,1
-83.2520978603,42.3948497175,1
-82.9705627724,42.4268842629,1
-83.145213655,42.2918791402,1
-82.9523787641,42.4020809698,0
-83.190643421,42.3530932937,0
-83.2211290017,42.3427429116,0
-83.2207399796,42.415758411,0
-83.2471275777,42.4325145663,1
-83.0250511972,42.377565723,1
-83.1962768,42.4262835,1
-83.1270216102,42.3070143588,0
-83.0063732755,42.4255850887,0
-82.9425643612,42.4155927409,0
-82.9937830734,42.4302794359,1
-82.9990001861,42.3545131441,0
-83.2296120314,42.4343497916,0
-83.1121252454,42.3278223757,1
-83.1059781118,42.3818667221,0
-83.1467166534,42.2905145941,1
-83.0042196586,42.4454505295,1
-83.1035678897,42.3238233492,1
-83.1207209497,42.4101015253,1
-82.9884783869,42.3579168089,0
-83.1308669708,42.2980198973,1
-83.2279563661,42.4098070453,0
-83.1019101786,42.4416384262,1
-82.9889530312,42.4227860729,1
-83.1480729523,42.28777216,1
-83.2040896609,42.4213523139,0
-83.2028644517,42.4237492053,0
-83.2210840341,42.3408772098,0
-83.2600642453,42.397272417,1
-83.1661141165,42.3843585161,1
-83.1060684726,42.3140129521,1
-83.1791080224,42.3616993494,0
-83.0836249097,42.3947998218,0
-83.1307279298,42.3955168319,0
-83.0093991529,42.438679228,0
-83.0038546924,42.3537136766,0
-83.2294147286,42.3550481077,0
-83.0760405231,42.3872403976,0
-83.1073617548,42.3180246341,1
-83.0261392084,42.3592408368,0
-83.2154934486,42.4045229343,0
-83.2595932828,42.3988119512,1
-83.0874973677,42.3826011913,1
-83.263592212,42.4042351027,1
-83.0165180697,42.375010569,0
-83.2336256117,42.4425573265,0
-82.9792795098,42.4248470521,1
-83.1130428142,42.3611110378,0
-83.2673838734,42.3999946036,1
-83.2205641063,42.4233492634,1
-83.1777340063,42.3761569014,1
-83.1330402527,42.3078862144,1
-83.0808686593,42.3788444441,1
-83.0933869531,42.3481307994,1
-83.2261715194,42.347966187,1
-82.9438340542,42.4015136681,1
-83.1136701016,42.4367199373,1
-83.1517372918,42.3584335164,1
-82.938618849,42.3697406749,0
-83.0549596814,42.3557052144,0
-83.2158819834,42.3720090712,1
-83.1149206286,42.4004244793,1
-83.2338948371,42.3595748843,0
-83.0270045458,42.3515803733,1
-83.0717441043,42.437568664,1
-82.9901487269,42.4480017859,0
-82.9960338355,42.3839490226,1
-83.0708155446,42.4061721415,1
-83.1154439037,42.3078375183,1
-82.9477133713,42.415019844,0
-83.2232437367,42.3888209572,0
-82.9637842531,42.4060183373,1
-82.9746776658,42.4440198487,0
-83.2459306254,42.3759509319,1
-83.1455617718,42.2922739849,1
-82.9358684946,42.36666152,1
-83.0618007754,42.4209443214,1
-83.1492006507,42.2914102335,1
-83.119722666,42.4097324651,0
-83.1670921561,42.4416484903,1
-82.9714584127,42.4257595824,0
-83.1079546013,42.4241695219,0
