,long,lat,inc_311
0,-83.287138,42.437345,1
1,-83.2870615,42.4223092,1
2,-83.286695,42.438868,1
3,-83.2866036,42.4125667,1
4,-83.2865968,42.4124088,1
5,-83.286046,42.440701,1
6,-83.28603,42.440207,1
7,-83.2858841,42.4276254,1
8,-83.285788,42.420907,1
9,-83.285748,42.434744,1
10,-83.285645,42.434424,1
11,-83.2856429,42.417616,1
12,-83.285633,42.434062,1
13,-83.285625,42.433821,1
14,-83.285613,42.41693,3
15,-83.285613,42.41693,1
16,-83.285381,42.411464,1
17,-83.285377,42.411368,1
18,-83.285359,42.410861,1
19,-83.2853499,42.410614,1
20,-83.2853372,42.4177482,1
21,-83.285272,42.408499,1
22,-83.2851546,42.4359929,2
23,-83.28511,42.434967,1
24,-83.2851069,42.4420644,1
25,-83.2847309,42.4358099001,1
26,-83.284564,42.412649,1
27,-83.284317,42.441398,2
28,-83.284312,42.441275,1
29,-83.2842921,42.4221476,1
30,-83.2842026,42.4286856,3
31,-83.2841658,42.4286867,3
32,-83.2841399,42.4140615,1
33,-83.2841383625,42.426397474,1
34,-83.284134037,42.4264163136,1
35,-83.284118,42.435312,1
36,-83.2841062,42.4276393,1
37,-83.2841060311,42.4251077753,1
38,-83.2840989855,42.4247766962,1
39,-83.284045,42.41588,1
40,-83.2840091767,42.4232829779,1
41,-83.2840034,42.4235738,1
42,-83.2838944,42.4201012,1
43,-83.283792,42.4185793,1
44,-83.2837911,42.4176063,3
45,-83.2837865,42.4179635,1
46,-83.2836626,42.4154025,1
47,-83.2836523,42.4187928,1
48,-83.28357,42.441425,1
49,-83.2835634,42.4131115,1
50,-83.2833959,42.4087644,1
51,-83.2833686,42.4120476,1
52,-83.283001,42.410565,1
53,-83.282985,42.431958,1
54,-83.28296,42.4232299,1
55,-83.2828994,42.4270105,1
56,-83.2827157,42.4257453,1
57,-83.2826843262,42.4382781982,1
58,-83.2826156616,42.4381408691,1
59,-83.282516,42.412236,1
60,-83.282448,42.435358,1
61,-83.282436,42.414102,1
62,-83.2822992,42.4086939,1
63,-83.2822501095,42.4141748009,1
64,-83.282043,42.418328,1
65,-83.281986,42.416481,1
66,-83.281977,42.416276,1
67,-83.2817919,42.4071652,1
68,-83.281758,42.413016,1
69,-83.28171,42.411758,1
70,-83.2816254,42.4395764,2
71,-83.281595,42.438294,1
72,-83.281388,42.414119,1
73,-83.2811494913,42.4349269862,1
74,-83.2811344099,42.4300670496,1
75,-83.2811314,42.4071869,1
76,-83.281104,42.434868,1
77,-83.280796,42.436367,1
78,-83.280795,42.407405,1
79,-83.280704,42.426657,1
80,-83.2806167603,42.4288215637,1
81,-83.280503,42.430448,1
82,-83.28044,42.4358239,1
83,-83.280394,42.4208039,1
84,-83.280359,42.419795,1
85,-83.280336,42.42428,1
86,-83.280311,42.409822,1
87,-83.280259,42.408566,1
88,-83.280257,42.416677,2
89,-83.280249,42.408326,2
90,-83.2801591,42.4405825,2
91,-83.279784,42.441291,3
92,-83.27966,42.420481,1
93,-83.279632,42.424902,1
94,-83.279562,42.424297,1
95,-83.279508,42.4337019,1
96,-83.279489,42.426314,1
97,-83.279458,42.407445,1
98,-83.2794495,42.4266557,1
99,-83.27942,42.431582,1
100,-83.279378,42.4305639,1
101,-83.2792816162,42.4298629761,1
102,-83.27898,42.4166979,1
103,-83.2789449,42.415909,1
104,-83.278931,42.422663,1
105,-83.278896,42.4094132,1
106,-83.2788517,42.4095005,1
107,-83.2788259372,42.4422072905,1
108,-83.2788109,42.4095647,1
109,-83.278797,42.42768,1
110,-83.278792,42.4093506,1
111,-83.2787644,42.4093487,1
112,-83.278736,42.426128,1
113,-83.2787349,42.4244384,1
114,-83.2786081,42.4217209,1
115,-83.278546,42.413423,1
116,-83.278458,42.432827,1
117,-83.2784268,42.4094418,1
118,-83.278405,42.431542,1
119,-83.278394,42.431268,1
120,-83.278369,42.408428,1
121,-83.278352,42.419207,1
122,-83.278271,42.417122,1
123,-83.278242,42.4162589,1
124,-83.2780496,42.4072438,1
125,-83.2780327,42.4273997,1
126,-83.2780303955,42.4319877625,1
127,-83.2780127,42.4072449,1
128,-83.2780127,42.4072449,1
129,-83.2780016,42.422366,1
130,-83.2778269,42.4247379,1
131,-83.2777861,42.4151302,1
132,-83.277759,42.413522,3
133,-83.277735027,42.4244228113,1
134,-83.277572,42.408149,1
135,-83.277572,42.408149,2
136,-83.277555,42.416808,1
137,-83.277548427,42.4298456983,1
138,-83.2775414251,42.4269669208,1
139,-83.277393,42.435042,1
140,-83.2771505,42.4072972,4
141,-83.2771492,42.4072699,4
142,-83.2771492,42.4072699,2
143,-83.276922,42.4263509,2
144,-83.276895,42.425775,1
145,-83.276886,42.415036,2
146,-83.276771,42.431999,1
147,-83.276763916,42.4326057434,1
148,-83.2763900757,42.4241256714,1
149,-83.2763799,42.4114426,1
150,-83.276165,42.414173,1
151,-83.276062,42.424831,1
152,-83.275751,42.433418,1
153,-83.275747,42.4086734,1
154,-83.275718,42.4079982,2
155,-83.275692,42.431889,1
156,-83.27534,42.409977,1
157,-83.2752611,42.4255142,1
158,-83.275041645,42.426374144,1
159,-83.2749798828,42.4247417905,1
160,-83.2749624489,42.4247534742,1
161,-83.2749604764,42.4247673331,1
162,-83.2749480312,42.4247019913,1
163,-83.274911,42.404461,1
