address,date,type,lat,long
15408  WEST PARKWAY,8/21/15,Dismantle,42.33142700000001,-83.0457538
10418  WAYBURN,8/21/15,Dismantle,42.413568,-82.95828999999998
5919  BUCKINGHAM,8/21/15,Dismantle,42.4077422,-82.94858029999997
13982  VAUGHAN,8/21/15,Dismantle,42.3875167,-83.2376985
713  CONTINENTAL,8/21/15,Dismantle,42.366499299999994,-82.9525713
13803 E SEVEN MILE,8/21/15,Dismantle,42.33142700000001,-83.0457538
4440  MCGRAW,8/20/15,Dismantle,42.345999799999994,-83.1150305
8236  ROBSON,8/20/15,Dismantle,42.3541136,-83.19121229999998
9394  MARLOWE,8/20/15,Dismantle,42.3646551,-83.1882823
9015  PRAIRIE,8/20/15,Dismantle,42.361079,-83.14310119999998
14241  HOUSTON-WHITTIER,8/20/15,Dismantle,42.420887,-82.975899
19360  HICKORY,8/20/15,Dismantle,42.43783060000001,-82.9873877
18630  FAIRPORT,8/20/15,Dismantle,42.4316967,-82.99078859999999
18694  WESTPHALIA,8/20/15,Dismantle,42.4325354,-82.9920061
3233  CALVERT,8/20/15,Dismantle,42.3771782,-83.1187181
19655  RENO,8/20/15,Dismantle,42.4404359,-82.98314690000002
9235  SUSSEX,8/20/15,Dismantle,42.3625325,-83.19425729999998
3728  GLADSTONE,8/20/15,Dismantle,42.367416,-83.116518
12754  ALCOY,8/20/15,Dismantle,42.42452309999999,-82.98596009999999
20015  RIOPELLE,8/20/15,Dismantle,42.441632,-83.08709499999998
9007  BEVERLY CT,8/20/15,Dismantle,42.365409,-83.127967
3362 E WILLIS,8/20/15,Dismantle,42.3600576,-83.02656920000003
1465 W GRAND BLVD,8/20/15,Dismantle,42.33141970000001,-83.06647819999998
2962  MCLEAN,8/20/15,Dismantle,42.40920300000001,-83.06463099999998
9737  CAMERON,8/20/15,Dismantle,42.39176339999999,-83.07454279999997
5721  FISCHER,8/20/15,Dismantle,42.3837334,-83.0096772
3879  BURNS,8/20/15,Dismantle,42.371451,-83.002044
6008  COMSTOCK,8/20/15,Dismantle,42.39798690000001,-83.041078
12850  ARLINGTON,8/20/15,Dismantle,42.40851,-83.069496
9346  MARLOWE,8/20/15,Dismantle,42.3640046,-83.1882823
17181  ARLINGTON,8/20/15,Dismantle,42.4197718,-83.07743029999997
3292  CARTER,8/20/15,Dismantle,42.367562,-83.113787
19953  GOULBURN,8/20/15,Dismantle,42.443182799999995,-82.9943152
11275  MINDEN,8/20/15,Dismantle,42.414027600000004,-83.0043063
7039  ELMHURST,8/20/15,Dismantle,42.37588299999999,-83.14079090000001
20430  HAWTHORNE,8/20/15,Dismantle,42.445285999999996,-83.09265599999998
4827  FISCHER,8/20/15,Dismantle,42.3781016,-83.00563900000002
4495  FIELD,8/20/15,Dismantle,42.371068,-83.016205
3856  BURNS,8/20/15,Dismantle,42.371419,-83.001302
13404  DWYER,8/20/15,Dismantle,42.415647,-83.040098
2439  DEARING,8/20/15,Dismantle,42.410346999999994,-83.071567
8353  TERRY,8/20/15,Dismantle,42.3557702,-83.19075190000002
9359  ROBSON,8/20/15,Dismantle,42.364132,-83.19199300000002
3299  HOGARTH,8/20/15,Dismantle,42.359974,-83.108733
2667  MONTEREY,8/20/15,Dismantle,42.38460300000001,-83.117784
4024 W EUCLID,8/20/15,Dismantle,42.3315133,-83.09924110000001
